"X1_t1","X2_t1","X3_t1","X4_t1","X5_t1","X6_t1","X7_t1","X8_t1","X9_t1","X10_t1","X11_t1","X12_t1","X13_t1","X14_t1","X15_t1","X16_t1","X17_t1","X18_t1","X19_t1","X20_t1","X21_t1","X22_t1","X23_t1","X24_t1","X1_t2","X2_t2","X3_t2","X4_t2","X5_t2","X6_t2","X7_t2","X8_t2","X9_t2","X10_t2","X11_t2","X12_t2","X13_t2","X14_t2","X15_t2","X16_t2","X17_t2","X18_t2","X19_t2","X20_t2","X21_t2","X22_t2","X23_t2","X24_t2","time_taken_t1","total_time","cat_questionnaire_time_t1","cat_questionnaire_time_t2","score_t1","score_t2","ID"
2,1,3,5,1,3,1,1,1,4,1,1,1,3,3,1,1,3,1,1,1,1,1,1,1,4,3,4,2,2,1,1,1,2,1,2,1,3,1,1,3,2,2,1,2,1,1,4,527.353,354.24,52624,146351,42,46,62
2,3,4,3,2,4,4,2,1,4,3,3,2,2,3,1,2,3,3,2,2,2,2,4,3,4,4,3,2,4,3,2,4,5,3,3,3,2,3,2,2,4,2,2,3,3,3,3,384.437,212.62,56996,71749,63,72,63
3,4,4,5,3,2,2,3,5,2,3,5,1,3,5,4,3,3,3,3,5,4,2,3,3,5,4,5,3,3,2,3,5,2,3,5,3,2,5,4,3,4,3,4,5,4,3,3,920.229,407.194,97272,107727,80,86,64
2,3,4,3,1,2,1,1,1,3,1,1,1,3,1,2,2,4,2,1,1,1,1,2,2,3,3,2,2,1,2,1,2,2,1,1,1,2,1,2,3,3,2,1,3,1,1,2,1008.769,209.953,115799,117096,44,44,65
3,4,4,4,2,2,3,1,2,4,3,3,1,4,1,2,4,3,3,3,2,1,2,3,3,4,3,4,2,3,4,2,1,5,2,4,3,5,2,3,5,3,5,3,1,1,3,4,747.003,147.754,96923,64867,64,75,66
1,2,3,1,1,2,1,2,1,2,1,1,1,1,2,2,1,4,2,1,1,2,1,2,4,5,3,4,4,4,2,3,3,3,4,3,3,4,2,4,4,3,4,4,3,4,2,4,430.6,128.775,53868,49250,38,83,67
4,4,4,4,3,3,4,2,3,3,4,4,3,4,3,3,2,4,4,3,3,3,3,3,2,4,5,4,2,3,3,2,2,2,3,3,3,3,2,3,1,3,4,2,3,3,3,3,912.822,174.675,102413,76557,80,68,68
3,4,4,4,1,1,1,2,1,3,3,4,2,1,2,3,2,3,2,2,3,1,2,2,3,3,3,4,1,2,1,3,1,2,1,3,2,2,1,2,2,3,3,1,2,1,1,2,1425.449,221.957,137603,116498,56,49,69
4,2,2,4,4,4,1,3,1,2,4,3,4,4,3,1,3,3,3,1,3,1,3,2,3,4,4,2,2,1,4,4,1,1,4,1,4,3,3,3,2,1,3,2,2,1,4,2,1282.808,232.53,92847,115499,65,61,70
2,3,3,3,1,2,2,2,2,2,1,2,1,3,2,1,3,2,2,1,1,1,1,2,2,4,2,3,1,2,3,1,2,1,1,3,1,4,2,2,3,2,1,2,1,2,2,3,912.437,258.513,141037,164519,45,50,71
2,1,2,4,1,3,1,1,1,4,1,1,1,3,1,1,2,3,1,1,1,1,1,1,2,5,5,5,3,3,2,1,1,3,3,3,1,4,2,4,3,2,4,1,3,1,1,3,760.3,246.95,106190,126172,39,65,72
2,4,4,4,2,4,5,2,2,3,5,4,1,2,3,4,3,3,4,2,2,2,3,3,4,5,5,4,2,4,4,2,2,3,4,3,2,2,2,3,4,3,3,2,1,1,3,2,1122.696,325.549,180848,173153,73,70,73
5,5,4,5,2,4,2,3,3,5,5,4,3,3,3,3,5,4,3,3,4,2,4,3,3,5,4,5,2,3,2,3,4,4,5,4,2,3,4,5,5,4,3,3,5,3,3,5,1128.407,513.256,136656,144769,87,89,74
3,4,3,4,4,3,3,4,4,3,4,4,3,3,3,3,3,3,4,4,3,3,4,3,2,3,2,2,2,2,3,4,3,4,4,3,2,2,2,2,3,2,2,2,4,2,4,2,1021.302,265.46,99526,112907,82,63,75
2,3,4,3,3,3,3,3,3,2,4,3,4,4,2,2,3,4,2,1,3,2,3,3,4,4,4,4,3,4,4,3,5,4,3,4,4,4,2,3,4,4,4,2,3,3,2,3,808.835,248.569,128285,123380,69,84,76
4,4,5,5,3,4,4,5,4,3,5,5,4,4,3,2,4,5,4,3,3,3,4,4,3,4,5,4,3,4,4,4,3,3,4,4,3,4,3,2,3,3,3,3,3,3,3,4,423.3,142.617,66112,58377,94,82,77
